params,f1,roc_auc,average_precision,accuracy,balanced_accuracy,rank_test_f1,rank_test_roc_auc,rank_test_average_precision,rank_test_accuracy,rank_test_balanced_accuracy
"{'min_samples_leaf': 9, 'min_samples_split': 4}",0.8684863523573201,0.929245283018868,0.9248485459946191,0.8747044917257684,0.8748211571134759,21,38,52,21,32
"{'min_samples_leaf': 9, 'min_samples_split': 5}",0.8663366336633662,0.9271215237413931,0.9239027354247765,0.8723404255319149,0.8724514888670303,51,85,83,51,58
"{'min_samples_leaf': 9, 'min_samples_split': 6}",0.8684863523573201,0.9284963784315479,0.9243983094030029,0.8747044917257684,0.8748211571134759,21,61,68,21,32
"{'min_samples_leaf': 9, 'min_samples_split': 7}",0.8641975308641975,0.9315590628632746,0.9266200515027967,0.8699763593380615,0.8700818206205848,71,2,7,71,82
"{'min_samples_leaf': 9, 'min_samples_split': 8}",0.8663366336633662,0.9281834033801305,0.924079590861279,0.8723404255319149,0.8724514888670303,51,70,77,51,58
"{'min_samples_leaf': 9, 'min_samples_split': 9}",0.8700000000000001,0.926383796834481,0.9235452469579501,0.8770685579196218,0.8772020030403291,17,90,87,8,8
"{'min_samples_leaf': 9, 'min_samples_split': 10}",0.8641975308641975,0.9298600554412948,0.9263250036744284,0.8699763593380615,0.8700818206205848,71,24,11,71,82
"{'min_samples_leaf': 10, 'min_samples_split': 2}",0.8700000000000001,0.9292341053384602,0.9247448274403505,0.8770685579196218,0.8772020030403291,17,39,58,8,8
"{'min_samples_leaf': 10, 'min_samples_split': 3}",0.8684863523573201,0.9283063578646158,0.9245618753068068,0.8747044917257684,0.8748211571134759,21,69,63,21,32
"{'min_samples_leaf': 10, 'min_samples_split': 4}",0.8663366336633662,0.9283175355450237,0.9255597624026484,0.8723404255319149,0.8724514888670303,51,68,26,51,58
"{'min_samples_leaf': 10, 'min_samples_split': 5}",0.8635235732009927,0.928161048019315,0.9243967100734434,0.8699763593380615,0.8700929983009926,77,71,69,71,71
"{'min_samples_leaf': 10, 'min_samples_split': 6}",0.8663366336633662,0.9312237324510417,0.9266830062844948,0.8723404255319149,0.8724514888670303,51,3,6,51,58
"{'min_samples_leaf': 10, 'min_samples_split': 7}",0.8684863523573201,0.9295806134311009,0.9251757790116354,0.8747044917257684,0.8748211571134759,21,32,38,21,32
"{'min_samples_leaf': 10, 'min_samples_split': 8}",0.8728179551122194,0.9294576589466154,0.9251339444790962,0.8794326241134752,0.8795604936063668,1,34,43,1,1
"{'min_samples_leaf': 10, 'min_samples_split': 9}",0.8706467661691543,0.9280380935348297,0.9241890238588324,0.8770685579196218,0.8771908253599213,8,74,72,8,12
"{'min_samples_leaf': 10, 'min_samples_split': 10}",0.8678304239401495,0.9287869981221497,0.924428006759864,0.8747044917257684,0.8748323347938836,40,50,66,21,22
