nohup: ignoring input
experiment: K562 dpcp_rf
trainSet len:[X=71150,y=71150]
testSet len:[X=4147,y=4147]
第一次
{'bootstrap': True, 'ccp_alpha': 0.0, 'class_weight': None, 'criterion': 'gini', 'max_depth': None, 'max_features': 'auto', 'max_leaf_nodes': None, 'max_samples': None, 'min_impurity_decrease': 0.0, 'min_impurity_split': None, 'min_samples_leaf': 1, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'n_estimators': 100, 'n_jobs': 3, 'oob_score': False, 'random_state': None, 'verbose': 0, 'warm_start': False}
Fitting, totalling 34 fits
[fit 56/150] END max_depth=55; total=4147, TP=100, TN=3904, FP=46, FN=97; precision=0.685, recall=0.508
accuracy: (test=0.966) average_precision: (test=0.588) balanced_accuracy: (test=0.748) f1: (test=0.583) roc_auc: (test=0.864) 2.06min
[fit 57/150] END max_depth=56; total=4147, TP=100, TN=3904, FP=46, FN=97; precision=0.685, recall=0.508
accuracy: (test=0.966) average_precision: (test=0.588) balanced_accuracy: (test=0.748) f1: (test=0.583) roc_auc: (test=0.867) 2.07min
[fit 58/150] END max_depth=57; total=4147, TP=99, TN=3897, FP=53, FN=98; precision=0.651, recall=0.503
accuracy: (test=0.964) average_precision: (test=0.587) balanced_accuracy: (test=0.745) f1: (test=0.567) roc_auc: (test=0.871) 2.08min
[fit 59/150] END max_depth=58; total=4147, TP=100, TN=3905, FP=45, FN=97; precision=0.690, recall=0.508
accuracy: (test=0.966) average_precision: (test=0.583) balanced_accuracy: (test=0.748) f1: (test=0.585) roc_auc: (test=0.863) 2.07min
[fit 60/150] END max_depth=59; total=4147, TP=97, TN=3897, FP=53, FN=100; precision=0.647, recall=0.492
accuracy: (test=0.963) average_precision: (test=0.594) balanced_accuracy: (test=0.739) f1: (test=0.559) roc_auc: (test=0.865) 2.07min
[fit 61/150] END max_depth=60; total=4147, TP=100, TN=3900, FP=50, FN=97; precision=0.667, recall=0.508
accuracy: (test=0.965) average_precision: (test=0.591) balanced_accuracy: (test=0.747) f1: (test=0.576) roc_auc: (test=0.873) 2.06min
[fit 62/150] END max_depth=61; total=4147, TP=98, TN=3907, FP=43, FN=99; precision=0.695, recall=0.497
accuracy: (test=0.966) average_precision: (test=0.587) balanced_accuracy: (test=0.743) f1: (test=0.580) roc_auc: (test=0.868) 2.08min
[fit 63/150] END max_depth=62; total=4147, TP=101, TN=3901, FP=49, FN=96; precision=0.673, recall=0.513
accuracy: (test=0.965) average_precision: (test=0.592) balanced_accuracy: (test=0.750) f1: (test=0.582) roc_auc: (test=0.872) 2.07min
[fit 64/150] END max_depth=63; total=4147, TP=100, TN=3904, FP=46, FN=97; precision=0.685, recall=0.508
accuracy: (test=0.966) average_precision: (test=0.593) balanced_accuracy: (test=0.748) f1: (test=0.583) roc_auc: (test=0.870) 2.07min
