nohup: ignoring input
experiment: HUVEC dpcp_rf
trainSet len:[X=54800,y=54800]
testSet len:[X=3192,y=3192]
第一次
{'bootstrap': True, 'ccp_alpha': 0.0, 'class_weight': None, 'criterion': 'gini', 'max_depth': None, 'max_features': 'auto', 'max_leaf_nodes': None, 'max_samples': None, 'min_impurity_decrease': 0.0, 'min_impurity_split': None, 'min_samples_leaf': 1, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'n_estimators': 100, 'n_jobs': 3, 'oob_score': False, 'random_state': None, 'verbose': 0, 'warm_start': False}
Fitting, totalling 34 fits
[fit 30/150] END max_depth=29; total=3192, TP=68, TN=2969, FP=71, FN=84; precision=0.489, recall=0.447
accuracy: (test=0.951) average_precision: (test=0.444) balanced_accuracy: (test=0.712) f1: (test=0.467) roc_auc: (test=0.830) 1.57min
[fit 31/150] END max_depth=30; total=3192, TP=68, TN=2970, FP=70, FN=84; precision=0.493, recall=0.447
accuracy: (test=0.952) average_precision: (test=0.455) balanced_accuracy: (test=0.712) f1: (test=0.469) roc_auc: (test=0.830) 1.48min
[fit 32/150] END max_depth=31; total=3192, TP=68, TN=2964, FP=76, FN=84; precision=0.472, recall=0.447
accuracy: (test=0.950) average_precision: (test=0.446) balanced_accuracy: (test=0.711) f1: (test=0.459) roc_auc: (test=0.836) 1.54min
[fit 33/150] END max_depth=32; total=3192, TP=66, TN=2968, FP=72, FN=86; precision=0.478, recall=0.434
accuracy: (test=0.951) average_precision: (test=0.453) balanced_accuracy: (test=0.705) f1: (test=0.455) roc_auc: (test=0.834) 1.52min
[fit 34/150] END max_depth=33; total=3192, TP=68, TN=2966, FP=74, FN=84; precision=0.479, recall=0.447
accuracy: (test=0.951) average_precision: (test=0.462) balanced_accuracy: (test=0.712) f1: (test=0.463) roc_auc: (test=0.831) 1.50min
[fit 35/150] END max_depth=34; total=3192, TP=67, TN=2965, FP=75, FN=85; precision=0.472, recall=0.441
accuracy: (test=0.950) average_precision: (test=0.440) balanced_accuracy: (test=0.708) f1: (test=0.456) roc_auc: (test=0.830) 1.50min
[fit 36/150] END max_depth=35; total=3192, TP=66, TN=2966, FP=74, FN=86; precision=0.471, recall=0.434
accuracy: (test=0.950) average_precision: (test=0.452) balanced_accuracy: (test=0.705) f1: (test=0.452) roc_auc: (test=0.829) 1.54min
[fit 37/150] END max_depth=36; total=3192, TP=67, TN=2968, FP=72, FN=85; precision=0.482, recall=0.441
accuracy: (test=0.951) average_precision: (test=0.456) balanced_accuracy: (test=0.709) f1: (test=0.460) roc_auc: (test=0.836) 1.65min
[fit 38/150] END max_depth=37; total=3192, TP=67, TN=2973, FP=67, FN=85; precision=0.500, recall=0.441
accuracy: (test=0.952) average_precision: (test=0.448) balanced_accuracy: (test=0.709) f1: (test=0.469) roc_auc: (test=0.833) 1.65min
[fit 39/150] END max_depth=38; total=3192, TP=65, TN=2971, FP=69, FN=87; precision=0.485, recall=0.428
accuracy: (test=0.951) average_precision: (test=0.457) balanced_accuracy: (test=0.702) f1: (test=0.455) roc_auc: (test=0.832) 1.60min
[fit 40/150] END max_depth=39; total=3192, TP=66, TN=2973, FP=67, FN=86; precision=0.496, recall=0.434
accuracy: (test=0.952) average_precision: (test=0.451) balanced_accuracy: (test=0.706) f1: (test=0.463) roc_auc: (test=0.837) 1.53min
[fit 41/150] END max_depth=40; total=3192, TP=65, TN=2975, FP=65, FN=87; precision=0.500, recall=0.428
accuracy: (test=0.952) average_precision: (test=0.456) balanced_accuracy: (test=0.703) f1: (test=0.461) roc_auc: (test=0.833) 1.51min
[fit 42/150] END max_depth=41; total=3192, TP=65, TN=2971, FP=69, FN=87; precision=0.485, recall=0.428
accuracy: (test=0.951) average_precision: (test=0.462) balanced_accuracy: (test=0.702) f1: (test=0.455) roc_auc: (test=0.837) 1.49min
[fit 43/150] END max_depth=42; total=3192, TP=67, TN=2970, FP=70, FN=85; precision=0.489, recall=0.441
accuracy: (test=0.951) average_precision: (test=0.450) balanced_accuracy: (test=0.709) f1: (test=0.464) roc_auc: (test=0.833) 1.53min
[fit 44/150] END max_depth=43; total=3192, TP=66, TN=2970, FP=70, FN=86; precision=0.485, recall=0.434
accuracy: (test=0.951) average_precision: (test=0.468) balanced_accuracy: (test=0.706) f1: (test=0.458) roc_auc: (test=0.836) 1.57min
[fit 45/150] END max_depth=44; total=3192, TP=65, TN=2976, FP=64, FN=87; precision=0.504, recall=0.428
accuracy: (test=0.953) average_precision: (test=0.449) balanced_accuracy: (test=0.703) f1: (test=0.463) roc_auc: (test=0.832) 1.65min
[fit 46/150] END max_depth=45; total=3192, TP=64, TN=2973, FP=67, FN=88; precision=0.489, recall=0.421
accuracy: (test=0.951) average_precision: (test=0.449) balanced_accuracy: (test=0.700) f1: (test=0.452) roc_auc: (test=0.833) 1.62min
[fit 47/150] END max_depth=46; total=3192, TP=67, TN=2970, FP=70, FN=85; precision=0.489, recall=0.441
accuracy: (test=0.951) average_precision: (test=0.456) balanced_accuracy: (test=0.709) f1: (test=0.464) roc_auc: (test=0.829) 1.54min
[fit 48/150] END max_depth=47; total=3192, TP=66, TN=2975, FP=65, FN=86; precision=0.504, recall=0.434
accuracy: (test=0.953) average_precision: (test=0.453) balanced_accuracy: (test=0.706) f1: (test=0.466) roc_auc: (test=0.833) 1.50min
[fit 49/150] END max_depth=48; total=3192, TP=66, TN=2972, FP=68, FN=86; precision=0.493, recall=0.434
accuracy: (test=0.952) average_precision: (test=0.455) balanced_accuracy: (test=0.706) f1: (test=0.462) roc_auc: (test=0.838) 1.50min
[fit 50/150] END max_depth=49; total=3192, TP=64, TN=2974, FP=66, FN=88; precision=0.492, recall=0.421
accuracy: (test=0.952) average_precision: (test=0.455) balanced_accuracy: (test=0.700) f1: (test=0.454) roc_auc: (test=0.833) 1.50min
[fit 51/150] END max_depth=50; total=3192, TP=66, TN=2967, FP=73, FN=86; precision=0.475, recall=0.434
accuracy: (test=0.950) average_precision: (test=0.447) balanced_accuracy: (test=0.705) f1: (test=0.454) roc_auc: (test=0.833) 1.58min
[fit 52/150] END max_depth=51; total=3192, TP=66, TN=2971, FP=69, FN=86; precision=0.489, recall=0.434
accuracy: (test=0.951) average_precision: (test=0.450) balanced_accuracy: (test=0.706) f1: (test=0.460) roc_auc: (test=0.837) 1.64min
[fit 53/150] END max_depth=52; total=3192, TP=65, TN=2975, FP=65, FN=87; precision=0.500, recall=0.428
accuracy: (test=0.952) average_precision: (test=0.442) balanced_accuracy: (test=0.703) f1: (test=0.461) roc_auc: (test=0.835) 1.65min
[fit 54/150] END max_depth=53; total=3192, TP=64, TN=2974, FP=66, FN=88; precision=0.492, recall=0.421
accuracy: (test=0.952) average_precision: (test=0.452) balanced_accuracy: (test=0.700) f1: (test=0.454) roc_auc: (test=0.828) 1.56min
[fit 55/150] END max_depth=54; total=3192, TP=65, TN=2967, FP=73, FN=87; precision=0.471, recall=0.428
accuracy: (test=0.950) average_precision: (test=0.450) balanced_accuracy: (test=0.702) f1: (test=0.448) roc_auc: (test=0.837) 1.48min
[fit 56/150] END max_depth=55; total=3192, TP=67, TN=2966, FP=74, FN=85; precision=0.475, recall=0.441
accuracy: (test=0.950) average_precision: (test=0.444) balanced_accuracy: (test=0.708) f1: (test=0.457) roc_auc: (test=0.828) 1.52min
[fit 57/150] END max_depth=56; total=3192, TP=64, TN=2973, FP=67, FN=88; precision=0.489, recall=0.421
accuracy: (test=0.951) average_precision: (test=0.459) balanced_accuracy: (test=0.700) f1: (test=0.452) roc_auc: (test=0.838) 1.50min
[fit 58/150] END max_depth=57; total=3192, TP=68, TN=2973, FP=67, FN=84; precision=0.504, recall=0.447
accuracy: (test=0.953) average_precision: (test=0.453) balanced_accuracy: (test=0.713) f1: (test=0.474) roc_auc: (test=0.836) 1.51min
[fit 59/150] END max_depth=58; total=3192, TP=68, TN=2972, FP=68, FN=84; precision=0.500, recall=0.447
accuracy: (test=0.952) average_precision: (test=0.451) balanced_accuracy: (test=0.713) f1: (test=0.472) roc_auc: (test=0.835) 1.61min
[fit 60/150] END max_depth=59; total=3192, TP=66, TN=2973, FP=67, FN=86; precision=0.496, recall=0.434
accuracy: (test=0.952) average_precision: (test=0.454) balanced_accuracy: (test=0.706) f1: (test=0.463) roc_auc: (test=0.836) 1.64min
[fit 61/150] END max_depth=60; total=3192, TP=66, TN=2968, FP=72, FN=86; precision=0.478, recall=0.434
accuracy: (test=0.951) average_precision: (test=0.460) balanced_accuracy: (test=0.705) f1: (test=0.455) roc_auc: (test=0.837) 1.62min
[fit 62/150] END max_depth=61; total=3192, TP=68, TN=2975, FP=65, FN=84; precision=0.511, recall=0.447
accuracy: (test=0.953) average_precision: (test=0.467) balanced_accuracy: (test=0.713) f1: (test=0.477) roc_auc: (test=0.843) 1.58min
[fit 63/150] END max_depth=62; total=3192, TP=65, TN=2974, FP=66, FN=87; precision=0.496, recall=0.428
accuracy: (test=0.952) average_precision: (test=0.450) balanced_accuracy: (test=0.703) f1: (test=0.459) roc_auc: (test=0.834) 1.53min
[fit 64/150] END max_depth=63; total=3192, TP=67, TN=2969, FP=71, FN=85; precision=0.486, recall=0.441
accuracy: (test=0.951) average_precision: (test=0.451) balanced_accuracy: (test=0.709) f1: (test=0.462) roc_auc: (test=0.840) 1.51min
