nohup: ignoring input
experiment: HeLa-S3 dpcp_rf
trainSet len:[X=62640,y=62640]
testSet len:[X=3654,y=3654]
第一次
{'bootstrap': True, 'ccp_alpha': 0.0, 'class_weight': None, 'criterion': 'gini', 'max_depth': None, 'max_features': 'auto', 'max_leaf_nodes': None, 'max_samples': None, 'min_impurity_decrease': 0.0, 'min_impurity_split': None, 'min_samples_leaf': 1, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'n_estimators': 100, 'n_jobs': 3, 'oob_score': False, 'random_state': None, 'verbose': 0, 'warm_start': False}
Fitting, totalling 34 fits
accuracy: (test=0.973) average_precision: (test=0.674) balanced_accuracy: (test=0.817) f1: (test=0.698) roc_auc: (test=0.917) 25.24s
[fit 34/150] END max_depth=33; total=3654, TP=110, TN=3434, FP=46, FN=64; precision=0.705, recall=0.632
accuracy: (test=0.970) average_precision: (test=0.669) balanced_accuracy: (test=0.809) f1: (test=0.667) roc_auc: (test=0.896) 24.77s
[fit 35/150] END max_depth=34; total=3654, TP=112, TN=3438, FP=42, FN=62; precision=0.727, recall=0.644
accuracy: (test=0.972) average_precision: (test=0.662) balanced_accuracy: (test=0.816) f1: (test=0.683) roc_auc: (test=0.902) 24.41s
[fit 36/150] END max_depth=35; total=3654, TP=112, TN=3435, FP=45, FN=62; precision=0.713, recall=0.644
accuracy: (test=0.971) average_precision: (test=0.671) balanced_accuracy: (test=0.815) f1: (test=0.677) roc_auc: (test=0.899) 24.96s
[fit 37/150] END max_depth=36; total=3654, TP=109, TN=3435, FP=45, FN=65; precision=0.708, recall=0.626
accuracy: (test=0.970) average_precision: (test=0.665) balanced_accuracy: (test=0.807) f1: (test=0.665) roc_auc: (test=0.907) 25.46s
[fit 38/150] END max_depth=37; total=3654, TP=113, TN=3443, FP=37, FN=61; precision=0.753, recall=0.649
accuracy: (test=0.973) average_precision: (test=0.673) balanced_accuracy: (test=0.819) f1: (test=0.698) roc_auc: (test=0.898) 25.05s
[fit 39/150] END max_depth=38; total=3654, TP=109, TN=3440, FP=40, FN=65; precision=0.732, recall=0.626
accuracy: (test=0.971) average_precision: (test=0.671) balanced_accuracy: (test=0.807) f1: (test=0.675) roc_auc: (test=0.908) 24.70s
[fit 40/150] END max_depth=39; total=3654, TP=107, TN=3437, FP=43, FN=67; precision=0.713, recall=0.615
accuracy: (test=0.970) average_precision: (test=0.671) balanced_accuracy: (test=0.801) f1: (test=0.660) roc_auc: (test=0.898) 25.45s
[fit 41/150] END max_depth=40; total=3654, TP=112, TN=3448, FP=32, FN=62; precision=0.778, recall=0.644
accuracy: (test=0.974) average_precision: (test=0.670) balanced_accuracy: (test=0.817) f1: (test=0.704) roc_auc: (test=0.907) 25.83s
[fit 42/150] END max_depth=41; total=3654, TP=113, TN=3445, FP=35, FN=61; precision=0.764, recall=0.649
accuracy: (test=0.974) average_precision: (test=0.672) balanced_accuracy: (test=0.820) f1: (test=0.702) roc_auc: (test=0.904) 26.83s
[fit 43/150] END max_depth=42; total=3654, TP=109, TN=3441, FP=39, FN=65; precision=0.736, recall=0.626
accuracy: (test=0.972) average_precision: (test=0.682) balanced_accuracy: (test=0.808) f1: (test=0.677) roc_auc: (test=0.908) 26.31s
[fit 44/150] END max_depth=43; total=3654, TP=113, TN=3442, FP=38, FN=61; precision=0.748, recall=0.649
accuracy: (test=0.973) average_precision: (test=0.680) balanced_accuracy: (test=0.819) f1: (test=0.695) roc_auc: (test=0.906) 25.53s
[fit 45/150] END max_depth=44; total=3654, TP=114, TN=3437, FP=43, FN=60; precision=0.726, recall=0.655
accuracy: (test=0.972) average_precision: (test=0.666) balanced_accuracy: (test=0.821) f1: (test=0.689) roc_auc: (test=0.908) 25.82s
[fit 46/150] END max_depth=45; total=3654, TP=112, TN=3438, FP=42, FN=62; precision=0.727, recall=0.644
accuracy: (test=0.972) average_precision: (test=0.690) balanced_accuracy: (test=0.816) f1: (test=0.683) roc_auc: (test=0.905) 25.95s
[fit 47/150] END max_depth=46; total=3654, TP=112, TN=3446, FP=34, FN=62; precision=0.767, recall=0.644
accuracy: (test=0.974) average_precision: (test=0.673) balanced_accuracy: (test=0.817) f1: (test=0.700) roc_auc: (test=0.894) 26.19s
