nohup: ignoring input
experiment: HUVEC pseknc_rf
trainSet len:[X=54800,y=54800]
testSet len:[X=3192,y=3192]
第一次
{'bootstrap': True, 'ccp_alpha': 0.0, 'class_weight': None, 'criterion': 'gini', 'max_depth': None, 'max_features': 'auto', 'max_leaf_nodes': None, 'max_samples': None, 'min_impurity_decrease': 0.0, 'min_impurity_split': None, 'min_samples_leaf': 1, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'n_estimators': 100, 'n_jobs': 2, 'oob_score': False, 'random_state': None, 'verbose': 0, 'warm_start': False}
Fitting, totalling 34 fits
[fit 36/150] END max_depth=35; total=3192, TP=68, TN=3012, FP=28, FN=84; precision=0.708, recall=0.447
accuracy: (test=0.965) average_precision: (test=0.568) balanced_accuracy: (test=0.719) f1: (test=0.548) roc_auc: (test=0.898) 2.91min
[fit 37/150] END max_depth=36; total=3192, TP=67, TN=3014, FP=26, FN=85; precision=0.720, recall=0.441
accuracy: (test=0.965) average_precision: (test=0.561) balanced_accuracy: (test=0.716) f1: (test=0.547) roc_auc: (test=0.888) 2.92min
[fit 38/150] END max_depth=37; total=3192, TP=67, TN=3012, FP=28, FN=85; precision=0.705, recall=0.441
accuracy: (test=0.965) average_precision: (test=0.574) balanced_accuracy: (test=0.716) f1: (test=0.543) roc_auc: (test=0.894) 2.92min
[fit 39/150] END max_depth=38; total=3192, TP=66, TN=3012, FP=28, FN=86; precision=0.702, recall=0.434
accuracy: (test=0.964) average_precision: (test=0.568) balanced_accuracy: (test=0.713) f1: (test=0.537) roc_auc: (test=0.898) 2.95min
[fit 40/150] END max_depth=39; total=3192, TP=69, TN=3013, FP=27, FN=83; precision=0.719, recall=0.454
accuracy: (test=0.966) average_precision: (test=0.576) balanced_accuracy: (test=0.723) f1: (test=0.556) roc_auc: (test=0.896) 2.78min
[fit 41/150] END max_depth=40; total=3192, TP=67, TN=3013, FP=27, FN=85; precision=0.713, recall=0.441
accuracy: (test=0.965) average_precision: (test=0.577) balanced_accuracy: (test=0.716) f1: (test=0.545) roc_auc: (test=0.893) 2.66min
[fit 42/150] END max_depth=41; total=3192, TP=67, TN=3013, FP=27, FN=85; precision=0.713, recall=0.441
accuracy: (test=0.965) average_precision: (test=0.575) balanced_accuracy: (test=0.716) f1: (test=0.545) roc_auc: (test=0.887) 2.69min
[fit 43/150] END max_depth=42; total=3192, TP=69, TN=3014, FP=26, FN=83; precision=0.726, recall=0.454
accuracy: (test=0.966) average_precision: (test=0.570) balanced_accuracy: (test=0.723) f1: (test=0.559) roc_auc: (test=0.898) 2.73min
[fit 44/150] END max_depth=43; total=3192, TP=64, TN=3013, FP=27, FN=88; precision=0.703, recall=0.421
accuracy: (test=0.964) average_precision: (test=0.569) balanced_accuracy: (test=0.706) f1: (test=0.527) roc_auc: (test=0.895) 2.72min
[fit 45/150] END max_depth=44; total=3192, TP=69, TN=3016, FP=24, FN=83; precision=0.742, recall=0.454
