nohup: ignoring input
experiment: IMR90 pseknc_rf
trainSet len:[X=45080,y=45080]
testSet len:[X=2625,y=2625]
第一次
{'bootstrap': True, 'ccp_alpha': 0.0, 'class_weight': None, 'criterion': 'gini', 'max_depth': None, 'max_features': 'auto', 'max_leaf_nodes': None, 'max_samples': None, 'min_impurity_decrease': 0.0, 'min_impurity_split': None, 'min_samples_leaf': 1, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'n_estimators': 100, 'n_jobs': 2, 'oob_score': False, 'random_state': None, 'verbose': 0, 'warm_start': False}
Fitting, totalling 34 fits
[fit 36/150] END max_depth=35; total=2625, TP=68, TN=2483, FP=17, FN=57; precision=0.800, recall=0.544
accuracy: (test=0.972) average_precision: (test=0.690) balanced_accuracy: (test=0.769) f1: (test=0.648) roc_auc: (test=0.911) 2.78min
[fit 37/150] END max_depth=36; total=2625, TP=69, TN=2482, FP=18, FN=56; precision=0.793, recall=0.552
accuracy: (test=0.972) average_precision: (test=0.690) balanced_accuracy: (test=0.772) f1: (test=0.651) roc_auc: (test=0.910) 2.79min
[fit 38/150] END max_depth=37; total=2625, TP=69, TN=2485, FP=15, FN=56; precision=0.821, recall=0.552
accuracy: (test=0.973) average_precision: (test=0.695) balanced_accuracy: (test=0.773) f1: (test=0.660) roc_auc: (test=0.908) 2.79min
[fit 39/150] END max_depth=38; total=2625, TP=67, TN=2483, FP=17, FN=58; precision=0.798, recall=0.536
accuracy: (test=0.971) average_precision: (test=0.691) balanced_accuracy: (test=0.765) f1: (test=0.641) roc_auc: (test=0.919) 2.77min
[fit 40/150] END max_depth=39; total=2625, TP=69, TN=2483, FP=17, FN=56; precision=0.802, recall=0.552
accuracy: (test=0.972) average_precision: (test=0.693) balanced_accuracy: (test=0.773) f1: (test=0.654) roc_auc: (test=0.913) 2.80min
[fit 41/150] END max_depth=40; total=2625, TP=68, TN=2484, FP=16, FN=57; precision=0.810, recall=0.544
accuracy: (test=0.972) average_precision: (test=0.692) balanced_accuracy: (test=0.769) f1: (test=0.651) roc_auc: (test=0.908) 2.80min
[fit 42/150] END max_depth=41; total=2625, TP=68, TN=2484, FP=16, FN=57; precision=0.810, recall=0.544
accuracy: (test=0.972) average_precision: (test=0.700) balanced_accuracy: (test=0.769) f1: (test=0.651) roc_auc: (test=0.926) 2.78min
[fit 43/150] END max_depth=42; total=2625, TP=69, TN=2484, FP=16, FN=56; precision=0.812, recall=0.552
accuracy: (test=0.973) average_precision: (test=0.694) balanced_accuracy: (test=0.773) f1: (test=0.657) roc_auc: (test=0.910) 2.81min
[fit 44/150] END max_depth=43; total=2625, TP=69, TN=2484, FP=16, FN=56; precision=0.812, recall=0.552
accuracy: (test=0.973) average_precision: (test=0.692) balanced_accuracy: (test=0.773) f1: (test=0.657) roc_auc: (test=0.916) 2.80min
[fit 45/150] END max_depth=44; total=2625, TP=70, TN=2483, FP=17, FN=55; precision=0.805, recall=0.560
accuracy: (test=0.973) average_precision: (test=0.687) balanced_accuracy: (test=0.777) f1: (test=0.660) roc_auc: (test=0.905) 2.81min
[fit 46/150] END max_depth=45; total=2625, TP=67, TN=2482, FP=18, FN=58; precision=0.788, recall=0.536
accuracy: (test=0.971) average_precision: (test=0.688) balanced_accuracy: (test=0.764) f1: (test=0.638) roc_auc: (test=0.907) 2.84min
[fit 47/150] END max_depth=46; total=2625, TP=69, TN=2482, FP=18, FN=56; precision=0.793, recall=0.552
accuracy: (test=0.972) average_precision: (test=0.695) balanced_accuracy: (test=0.772) f1: (test=0.651) roc_auc: (test=0.912) 2.70min
[fit 48/150] END max_depth=47; total=2625, TP=66, TN=2485, FP=15, FN=59; precision=0.815, recall=0.528
accuracy: (test=0.972) average_precision: (test=0.698) balanced_accuracy: (test=0.761) f1: (test=0.641) roc_auc: (test=0.911) 2.61min
[fit 49/150] END max_depth=48; total=2625, TP=68, TN=2486, FP=14, FN=57; precision=0.829, recall=0.544
accuracy: (test=0.973) average_precision: (test=0.701) balanced_accuracy: (test=0.769) f1: (test=0.657) roc_auc: (test=0.909) 2.63min
[fit 50/150] END max_depth=49; total=2625, TP=67, TN=2484, FP=16, FN=58; precision=0.807, recall=0.536
accuracy: (test=0.972) average_precision: (test=0.690) balanced_accuracy: (test=0.765) f1: (test=0.644) roc_auc: (test=0.908) 2.61min
[fit 51/150] END max_depth=50; total=2625, TP=66, TN=2486, FP=14, FN=59; precision=0.825, recall=0.528
accuracy: (test=0.972) average_precision: (test=0.692) balanced_accuracy: (test=0.761) f1: (test=0.644) roc_auc: (test=0.908) 2.64min
[fit 52/150] END max_depth=51; total=2625, TP=69, TN=2484, FP=16, FN=56; precision=0.812, recall=0.552
accuracy: (test=0.973) average_precision: (test=0.698) balanced_accuracy: (test=0.773) f1: (test=0.657) roc_auc: (test=0.916) 2.63min
[fit 53/150] END max_depth=52; total=2625, TP=65, TN=2485, FP=15, FN=60; precision=0.812, recall=0.520
