nohup: ignoring input
experiment: HUVEC cksnap_rf
trainSet len:[X=54800,y=54800]
testSet len:[X=3192,y=3192]
第一次
{'bootstrap': True, 'ccp_alpha': 0.0, 'class_weight': None, 'criterion': 'gini', 'max_depth': None, 'max_features': 'auto', 'max_leaf_nodes': None, 'max_samples': None, 'min_impurity_decrease': 0.0, 'min_impurity_split': None, 'min_samples_leaf': 1, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'n_estimators': 100, 'n_jobs': 3, 'oob_score': False, 'random_state': None, 'verbose': 0, 'warm_start': False}
Fitting, totalling 34 fits
accuracy: (test=0.704) average_precision: (test=0.159) balanced_accuracy: (test=0.632) f1: (test=0.151) roc_auc: (test=0.695) 25.30s
[fit 9/150] END max_depth=8; total=3192, TP=85, TN=2279, FP=761, FN=67; precision=0.100, recall=0.559
accuracy: (test=0.741) average_precision: (test=0.192) balanced_accuracy: (test=0.654) f1: (test=0.170) roc_auc: (test=0.718) 27.19s
[fit 10/150] END max_depth=9; total=3192, TP=81, TN=2383, FP=657, FN=71; precision=0.110, recall=0.533
accuracy: (test=0.772) average_precision: (test=0.217) balanced_accuracy: (test=0.658) f1: (test=0.182) roc_auc: (test=0.740) 29.08s
[fit 11/150] END max_depth=10; total=3192, TP=80, TN=2502, FP=538, FN=72; precision=0.129, recall=0.526
accuracy: (test=0.809) average_precision: (test=0.247) balanced_accuracy: (test=0.675) f1: (test=0.208) roc_auc: (test=0.753) 33.78s
[fit 12/150] END max_depth=11; total=3192, TP=80, TN=2611, FP=429, FN=72; precision=0.157, recall=0.526
accuracy: (test=0.843) average_precision: (test=0.277) balanced_accuracy: (test=0.693) f1: (test=0.242) roc_auc: (test=0.772) 34.66s
[fit 13/150] END max_depth=12; total=3192, TP=82, TN=2699, FP=341, FN=70; precision=0.194, recall=0.539
accuracy: (test=0.871) average_precision: (test=0.308) balanced_accuracy: (test=0.714) f1: (test=0.285) roc_auc: (test=0.785) 37.71s
[fit 14/150] END max_depth=13; total=3192, TP=77, TN=2769, FP=271, FN=75; precision=0.221, recall=0.507
accuracy: (test=0.892) average_precision: (test=0.343) balanced_accuracy: (test=0.709) f1: (test=0.308) roc_auc: (test=0.797) 39.55s
[fit 15/150] END max_depth=14; total=3192, TP=80, TN=2820, FP=220, FN=72; precision=0.267, recall=0.526
accuracy: (test=0.909) average_precision: (test=0.362) balanced_accuracy: (test=0.727) f1: (test=0.354) roc_auc: (test=0.802) 43.89s
[fit 16/150] END max_depth=15; total=3192, TP=79, TN=2882, FP=158, FN=73; precision=0.333, recall=0.520
accuracy: (test=0.928) average_precision: (test=0.386) balanced_accuracy: (test=0.734) f1: (test=0.406) roc_auc: (test=0.814) 43.51s
[fit 17/150] END max_depth=16; total=3192, TP=77, TN=2914, FP=126, FN=75; precision=0.379, recall=0.507
accuracy: (test=0.937) average_precision: (test=0.408) balanced_accuracy: (test=0.733) f1: (test=0.434) roc_auc: (test=0.815) 45.07s
[fit 18/150] END max_depth=17; total=3192, TP=77, TN=2932, FP=108, FN=75; precision=0.416, recall=0.507
accuracy: (test=0.943) average_precision: (test=0.427) balanced_accuracy: (test=0.736) f1: (test=0.457) roc_auc: (test=0.827) 48.24s
[fit 19/150] END max_depth=18; total=3192, TP=79, TN=2950, FP=90, FN=73; precision=0.467, recall=0.520
accuracy: (test=0.949) average_precision: (test=0.454) balanced_accuracy: (test=0.745) f1: (test=0.492) roc_auc: (test=0.833) 46.89s
[fit 20/150] END max_depth=19; total=3192, TP=74, TN=2960, FP=80, FN=78; precision=0.481, recall=0.487
accuracy: (test=0.951) average_precision: (test=0.462) balanced_accuracy: (test=0.730) f1: (test=0.484) roc_auc: (test=0.834) 48.22s
[fit 21/150] END max_depth=20; total=3192, TP=68, TN=2964, FP=76, FN=84; precision=0.472, recall=0.447
accuracy: (test=0.950) average_precision: (test=0.453) balanced_accuracy: (test=0.711) f1: (test=0.459) roc_auc: (test=0.837) 51.61s
[fit 22/150] END max_depth=21; total=3192, TP=70, TN=2972, FP=68, FN=82; precision=0.507, recall=0.461
accuracy: (test=0.953) average_precision: (test=0.472) balanced_accuracy: (test=0.719) f1: (test=0.483) roc_auc: (test=0.837) 53.48s
[fit 23/150] END max_depth=22; total=3192, TP=71, TN=2979, FP=61, FN=81; precision=0.538, recall=0.467
accuracy: (test=0.956) average_precision: (test=0.473) balanced_accuracy: (test=0.724) f1: (test=0.500) roc_auc: (test=0.839) 55.40s
[fit 24/150] END max_depth=23; total=3192, TP=68, TN=2983, FP=57, FN=84; precision=0.544, recall=0.447
accuracy: (test=0.956) average_precision: (test=0.489) balanced_accuracy: (test=0.714) f1: (test=0.491) roc_auc: (test=0.848) 53.75s
[fit 25/150] END max_depth=24; total=3192, TP=68, TN=2983, FP=57, FN=84; precision=0.544, recall=0.447
accuracy: (test=0.956) average_precision: (test=0.484) balanced_accuracy: (test=0.714) f1: (test=0.491) roc_auc: (test=0.841) 55.89s
[fit 26/150] END max_depth=25; total=3192, TP=67, TN=2984, FP=56, FN=85; precision=0.545, recall=0.441
accuracy: (test=0.956) average_precision: (test=0.491) balanced_accuracy: (test=0.711) f1: (test=0.487) roc_auc: (test=0.840) 55.33s
[fit 27/150] END max_depth=26; total=3192, TP=65, TN=2991, FP=49, FN=87; precision=0.570, recall=0.428
accuracy: (test=0.957) average_precision: (test=0.486) balanced_accuracy: (test=0.706) f1: (test=0.489) roc_auc: (test=0.843) 54.60s
[fit 28/150] END max_depth=27; total=3192, TP=67, TN=2993, FP=47, FN=85; precision=0.588, recall=0.441
accuracy: (test=0.959) average_precision: (test=0.495) balanced_accuracy: (test=0.713) f1: (test=0.504) roc_auc: (test=0.844) 55.98s
[fit 29/150] END max_depth=28; total=3192, TP=63, TN=2990, FP=50, FN=89; precision=0.558, recall=0.414
accuracy: (test=0.956) average_precision: (test=0.494) balanced_accuracy: (test=0.699) f1: (test=0.475) roc_auc: (test=0.842) 57.58s
[fit 30/150] END max_depth=29; total=3192, TP=63, TN=2994, FP=46, FN=89; precision=0.578, recall=0.414
accuracy: (test=0.958) average_precision: (test=0.502) balanced_accuracy: (test=0.700) f1: (test=0.483) roc_auc: (test=0.848) 56.49s
[fit 31/150] END max_depth=30; total=3192, TP=64, TN=2996, FP=44, FN=88; precision=0.593, recall=0.421
accuracy: (test=0.959) average_precision: (test=0.502) balanced_accuracy: (test=0.703) f1: (test=0.492) roc_auc: (test=0.847) 55.57s
[fit 32/150] END max_depth=31; total=3192, TP=66, TN=2995, FP=45, FN=86; precision=0.595, recall=0.434
accuracy: (test=0.959) average_precision: (test=0.497) balanced_accuracy: (test=0.710) f1: (test=0.502) roc_auc: (test=0.841) 55.81s
[fit 33/150] END max_depth=32; total=3192, TP=63, TN=2991, FP=49, FN=89; precision=0.562, recall=0.414
accuracy: (test=0.957) average_precision: (test=0.495) balanced_accuracy: (test=0.699) f1: (test=0.477) roc_auc: (test=0.840) 58.14s
[fit 34/150] END max_depth=33; total=3192, TP=65, TN=2991, FP=49, FN=87; precision=0.570, recall=0.428
accuracy: (test=0.957) average_precision: (test=0.504) balanced_accuracy: (test=0.706) f1: (test=0.489) roc_auc: (test=0.848) 56.01s
[fit 35/150] END max_depth=34; total=3192, TP=65, TN=3000, FP=40, FN=87; precision=0.619, recall=0.428
accuracy: (test=0.960) average_precision: (test=0.503) balanced_accuracy: (test=0.707) f1: (test=0.506) roc_auc: (test=0.836) 55.01s
[fit 36/150] END max_depth=35; total=3192, TP=66, TN=2998, FP=42, FN=86; precision=0.611, recall=0.434
accuracy: (test=0.960) average_precision: (test=0.495) balanced_accuracy: (test=0.710) f1: (test=0.508) roc_auc: (test=0.843) 57.24s
[fit 37/150] END max_depth=36; total=3192, TP=65, TN=2996, FP=44, FN=87; precision=0.596, recall=0.428
accuracy: (test=0.959) average_precision: (test=0.506) balanced_accuracy: (test=0.707) f1: (test=0.498) roc_auc: (test=0.849) 56.10s
[fit 38/150] END max_depth=37; total=3192, TP=63, TN=2996, FP=44, FN=89; precision=0.589, recall=0.414
accuracy: (test=0.958) average_precision: (test=0.500) balanced_accuracy: (test=0.700) f1: (test=0.486) roc_auc: (test=0.848) 58.36s
[fit 39/150] END max_depth=38; total=3192, TP=67, TN=2998, FP=42, FN=85; precision=0.615, recall=0.441
accuracy: (test=0.960) average_precision: (test=0.505) balanced_accuracy: (test=0.713) f1: (test=0.513) roc_auc: (test=0.855) 56.55s
[fit 40/150] END max_depth=39; total=3192, TP=63, TN=2997, FP=43, FN=89; precision=0.594, recall=0.414
accuracy: (test=0.959) average_precision: (test=0.500) balanced_accuracy: (test=0.700) f1: (test=0.488) roc_auc: (test=0.850) 57.48s
[fit 41/150] END max_depth=40; total=3192, TP=60, TN=2999, FP=41, FN=92; precision=0.594, recall=0.395
accuracy: (test=0.958) average_precision: (test=0.505) balanced_accuracy: (test=0.691) f1: (test=0.474) roc_auc: (test=0.844) 56.89s
[fit 42/150] END max_depth=41; total=3192, TP=67, TN=2997, FP=43, FN=85; precision=0.609, recall=0.441
accuracy: (test=0.960) average_precision: (test=0.506) balanced_accuracy: (test=0.713) f1: (test=0.511) roc_auc: (test=0.845) 56.05s
[fit 43/150] END max_depth=42; total=3192, TP=64, TN=2997, FP=43, FN=88; precision=0.598, recall=0.421
accuracy: (test=0.959) average_precision: (test=0.501) balanced_accuracy: (test=0.703) f1: (test=0.494) roc_auc: (test=0.844) 56.95s
[fit 44/150] END max_depth=43; total=3192, TP=64, TN=2998, FP=42, FN=88; precision=0.604, recall=0.421
accuracy: (test=0.959) average_precision: (test=0.501) balanced_accuracy: (test=0.704) f1: (test=0.496) roc_auc: (test=0.849) 57.63s
[fit 45/150] END max_depth=44; total=3192, TP=65, TN=3001, FP=39, FN=87; precision=0.625, recall=0.428
accuracy: (test=0.961) average_precision: (test=0.503) balanced_accuracy: (test=0.707) f1: (test=0.508) roc_auc: (test=0.847) 55.94s
[fit 46/150] END max_depth=45; total=3192, TP=65, TN=2996, FP=44, FN=87; precision=0.596, recall=0.428
accuracy: (test=0.959) average_precision: (test=0.498) balanced_accuracy: (test=0.707) f1: (test=0.498) roc_auc: (test=0.839) 54.77s
[fit 47/150] END max_depth=46; total=3192, TP=64, TN=2993, FP=47, FN=88; precision=0.577, recall=0.421
accuracy: (test=0.958) average_precision: (test=0.502) balanced_accuracy: (test=0.703) f1: (test=0.487) roc_auc: (test=0.850) 56.85s
[fit 48/150] END max_depth=47; total=3192, TP=64, TN=2996, FP=44, FN=88; precision=0.593, recall=0.421
