nohup: ignoring input
experiment: HUVEC eiip_rf
trainSet len:[X=54800,y=54800]
testSet len:[X=3192,y=3192]
第一次
{'bootstrap': True, 'ccp_alpha': 0.0, 'class_weight': None, 'criterion': 'gini', 'max_depth': None, 'max_features': 'auto', 'max_leaf_nodes': None, 'max_samples': None, 'min_impurity_decrease': 0.0, 'min_impurity_split': None, 'min_samples_leaf': 1, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'n_estimators': 100, 'n_jobs': 3, 'oob_score': False, 'random_state': None, 'verbose': 0, 'warm_start': False}
Fitting, totalling 34 fits
accuracy: (test=0.965) average_precision: (test=0.576) balanced_accuracy: (test=0.725) f1: (test=0.556) roc_auc: (test=0.895) 2.01min
[fit 45/150] END max_depth=44; total=3192, TP=67, TN=3012, FP=28, FN=85; precision=0.705, recall=0.441
accuracy: (test=0.965) average_precision: (test=0.575) balanced_accuracy: (test=0.716) f1: (test=0.543) roc_auc: (test=0.884) 2.00min
[fit 46/150] END max_depth=45; total=3192, TP=69, TN=3011, FP=29, FN=83; precision=0.704, recall=0.454
accuracy: (test=0.965) average_precision: (test=0.575) balanced_accuracy: (test=0.722) f1: (test=0.552) roc_auc: (test=0.891) 2.04min
[fit 47/150] END max_depth=46; total=3192, TP=70, TN=3010, FP=30, FN=82; precision=0.700, recall=0.461
accuracy: (test=0.965) average_precision: (test=0.571) balanced_accuracy: (test=0.725) f1: (test=0.556) roc_auc: (test=0.884) 2.02min
[fit 48/150] END max_depth=47; total=3192, TP=72, TN=3013, FP=27, FN=80; precision=0.727, recall=0.474
accuracy: (test=0.966) average_precision: (test=0.572) balanced_accuracy: (test=0.732) f1: (test=0.574) roc_auc: (test=0.891) 2.00min
[fit 49/150] END max_depth=48; total=3192, TP=69, TN=3014, FP=26, FN=83; precision=0.726, recall=0.454
accuracy: (test=0.966) average_precision: (test=0.577) balanced_accuracy: (test=0.723) f1: (test=0.559) roc_auc: (test=0.895) 1.96min
[fit 50/150] END max_depth=49; total=3192, TP=69, TN=3011, FP=29, FN=83; precision=0.704, recall=0.454
accuracy: (test=0.965) average_precision: (test=0.566) balanced_accuracy: (test=0.722) f1: (test=0.552) roc_auc: (test=0.880) 2.02min
[fit 51/150] END max_depth=50; total=3192, TP=72, TN=3014, FP=26, FN=80; precision=0.735, recall=0.474
accuracy: (test=0.967) average_precision: (test=0.582) balanced_accuracy: (test=0.733) f1: (test=0.576) roc_auc: (test=0.893) 2.03min
[fit 52/150] END max_depth=51; total=3192, TP=69, TN=3012, FP=28, FN=83; precision=0.711, recall=0.454
accuracy: (test=0.965) average_precision: (test=0.574) balanced_accuracy: (test=0.722) f1: (test=0.554) roc_auc: (test=0.886) 2.00min
[fit 53/150] END max_depth=52; total=3192, TP=71, TN=3011, FP=29, FN=81; precision=0.710, recall=0.467
accuracy: (test=0.966) average_precision: (test=0.572) balanced_accuracy: (test=0.729) f1: (test=0.563) roc_auc: (test=0.887) 2.02min
[fit 54/150] END max_depth=53; total=3192, TP=71, TN=3012, FP=28, FN=81; precision=0.717, recall=0.467
accuracy: (test=0.966) average_precision: (test=0.573) balanced_accuracy: (test=0.729) f1: (test=0.566) roc_auc: (test=0.883) 2.03min
[fit 55/150] END max_depth=54; total=3192, TP=68, TN=3014, FP=26, FN=84; precision=0.723, recall=0.447
accuracy: (test=0.966) average_precision: (test=0.583) balanced_accuracy: (test=0.719) f1: (test=0.553) roc_auc: (test=0.897) 2.01min
[fit 56/150] END max_depth=55; total=3192, TP=70, TN=3012, FP=28, FN=82; precision=0.714, recall=0.461
accuracy: (test=0.966) average_precision: (test=0.573) balanced_accuracy: (test=0.726) f1: (test=0.560) roc_auc: (test=0.886) 2.01min
[fit 57/150] END max_depth=56; total=3192, TP=71, TN=3011, FP=29, FN=81; precision=0.710, recall=0.467
accuracy: (test=0.966) average_precision: (test=0.577) balanced_accuracy: (test=0.729) f1: (test=0.563) roc_auc: (test=0.881) 2.08min
[fit 58/150] END max_depth=57; total=3192, TP=71, TN=3011, FP=29, FN=81; precision=0.710, recall=0.467
accuracy: (test=0.966) average_precision: (test=0.574) balanced_accuracy: (test=0.729) f1: (test=0.563) roc_auc: (test=0.884) 2.02min
[fit 59/150] END max_depth=58; total=3192, TP=70, TN=3013, FP=27, FN=82; precision=0.722, recall=0.461
accuracy: (test=0.966) average_precision: (test=0.573) balanced_accuracy: (test=0.726) f1: (test=0.562) roc_auc: (test=0.895) 1.98min
[fit 60/150] END max_depth=59; total=3192, TP=69, TN=3011, FP=29, FN=83; precision=0.704, recall=0.454
accuracy: (test=0.965) average_precision: (test=0.573) balanced_accuracy: (test=0.722) f1: (test=0.552) roc_auc: (test=0.891) 2.03min
[fit 61/150] END max_depth=60; total=3192, TP=69, TN=3012, FP=28, FN=83; precision=0.711, recall=0.454
accuracy: (test=0.965) average_precision: (test=0.571) balanced_accuracy: (test=0.722) f1: (test=0.554) roc_auc: (test=0.893) 2.02min
[fit 62/150] END max_depth=61; total=3192, TP=68, TN=3014, FP=26, FN=84; precision=0.723, recall=0.447
accuracy: (test=0.966) average_precision: (test=0.577) balanced_accuracy: (test=0.719) f1: (test=0.553) roc_auc: (test=0.897) 1.99min
[fit 63/150] END max_depth=62; total=3192, TP=69, TN=3012, FP=28, FN=83; precision=0.711, recall=0.454
accuracy: (test=0.965) average_precision: (test=0.586) balanced_accuracy: (test=0.722) f1: (test=0.554) roc_auc: (test=0.893) 1.99min
[fit 64/150] END max_depth=63; total=3192, TP=72, TN=3013, FP=27, FN=80; precision=0.727, recall=0.474
accuracy: (test=0.966) average_precision: (test=0.580) balanced_accuracy: (test=0.732) f1: (test=0.574) roc_auc: (test=0.888) 2.03min
